timestamp_ms,symbol,action,direction,a_side,a_price_nominal,b_side,b_price_nominal,a_fill_price,b_fill_price,qty,net_pnl,cum_pnl,spread_ab_pct,spread_ba_pct
1780741472638,BTWUSDT,open,-a+b,sell,0.043866,buy,0.043602,0.043756,0.043663,200,0.00286458000000106,-0.07250613999999878,0.6054768129902305,-0.7952422184751449
1780741842589,ENAUSDT,open,+a-b,buy,0.09041,sell,0.09068,0.09047,0.09039,60,-0.014566439999999469,-0.08707257999999825,-0.41859440405376225,0.2986395310253207
1780741848184,ENAUSDT,close,-a+b,sell,0.0908,buy,0.09063,0.0908,0.09078,60,-0.008605319999999243,-0.09567789999999748,0.18757585788370681,-0.20922805858385168
1780742547080,BTWUSDT,add,-a+b,sell,0.042475,buy,0.042211,0.042277,0.042274,200,-0.014619179999999623,-0.1102970799999971,0.6254293904432502,-0.6824171686746955
1780743264636,WLDUSDT,open,+a-b,buy,0.4047,sell,0.4065,0.407,0.4068,13,-0.012121459999999269,-0.12241853999999637,-0.5652494470385768,0.4447739065974718
1780747207660,BTWUSDT,open,-a+b,sell,0.040917,buy,0.040705,0.040805,0.04077,200,0.0040805,0,0.5208205380174521,-0.6521898434255925
1780747218425,BTWUSDT,close,+a-b,buy,0.040338,sell,0.04038,0.040336,0.040305,200,0.0040336,0,-0.1683960278348694,0.1041201844414705
1780747237286,BTWUSDT,open,+a-b,buy,0.040221,sell,0.040277,0.040468,0.040331,200,0.00404679,0,-0.29996529327184324,0.13923075010566743
1780747238296,BTWUSDT,close,-a+b,sell,0.040548,buy,0.040501,0.040532,0.040501,200,0.0040532,0,0.11604651736993761,-0.34498053324134154
1780749634451,BTWUSDT,open,+a-b,buy,0.042479,sell,0.042514,0.04256,0.042463,200,0.004256,0,-0.19508755435421257,0.08239365333458958
1780749635729,BTWUSDT,close,-a+b,sell,0.042552,buy,0.042483,0.042552,0.042483,200,0.0042552,0,0.16241790833980563,-0.272556390977439
1780749994394,BTWUSDT,open,-a+b,sell,0.041452,buy,0.041139,0.04125,0.041228,200,0.004125,0,0.7608352171905024,-1.14061105886325
1780750016927,BTWUSDT,close,+a-b,buy,0.041307,sell,0.041365,0.041471,0.041363,200,0.0041471,0,-0.22467024206407402,0.14041203670079055
1780750177228,BTWUSDT,open,-a+b,sell,0.041411,buy,0.041227,0.041426,0.041421,200,0.0041426,0,0.4463094573944348,-0.5819569206993098
1780750496350,ENAUSDT,open,+a-b,buy,0.09136,sell,0.09157,0.09169,0.09162,60,0.0027507,0,-0.28387378534775654,0.22985989492119294
1780750962680,BTWUSDT,add,-a+b,sell,0.039936,buy,0.039752,0.039777,0.039817,200,0.0039777,0,0.46286979271482354,-0.7500000000000041
1780752094819,WLDUSDT,open,+a-b,buy,0.4211,sell,0.4221,0.4231,0.4229,12,0.00253859,0.0025374,-0.30783802983661457,0.2374732842555215
1780752429519,BTWUSDT,close,+a-b,buy,0.041208,sell,0.04127,0.041409,0.041315,200,0.0041409,0,-0.3024657003895761,0.15045622209279644
1780752517479,WLDUSDT,close,-a+b,sell,0.4167,buy,0.4163,0.4161,0.4163,12,0.0024966,0,-0.16794625719769155
1780752557063,WLDUSDT,open,-a+b,sell,0.4142,buy,0.4125,0.4131,0.4134,13,0.00268515,0,0.4121212121212206,-0.8206613565049515
1780752563085,WLDUSDT,close,+a-b,buy,0.4147,sell,0.4153,0.4146,0.4145,13,0.0026949,0,-0.21660649819493535,0.1446829033035904
1780752905904,ENAUSDT,close,-a+b,sell,0.09273,buy,0.09265,0.09274,0.09274,60,0.0027822,0,0.08634646519159268,-0.12939400474445653
1780752916198,BTWUSDT,add,-a+b,sell,0.04137,buy,0.041174,0.0412273,0.041174,200,0.00412273,0,0.4760285617136901,-0.7202242846094344
1780752946581,BTWUSDT,close,+a-b,buy,0.041078,sell,0.041181,0.041236,0.041138,200,0.0041236,0,-0.4749672854165531,0.25074248989726594
