row_no,timestamp_iso,symbol,action,direction,qty,a_side,b_side,lat_a_age_ms,lat_b_age_ms,lat_leg_skew_ms,a_minus_b_ms,a_minus_recv_ms,b_minus_recv_ms,a_send_price,a_fill_price,b_send_price,b_fill_price,a_adverse_slippage_usdt,b_adverse_slippage_usdt,total_adverse_slippage_usdt,net_pnl
22,2026-06-10T23:28:18.980Z,BTWUSDT,add,-a+b,100,sell,buy,16.0,26.0,10.0,10.0,-16.0,-26.0,0.0661,0.06625,0.065701,0.066321,-0.014999999999999736,0.06200000000000094,0.04700000000000121,-0.013728549999999728
23,2026-06-10T23:28:21.466Z,BTWUSDT,add,-a+b,100,sell,buy,2.0,6.0,4.0,4.0,-2.0,-6.0,0.06716,0.0673528,0.066648,0.067389,-0.019280000000000685,0.07410000000000055,0.05481999999999987,-0.010357080000000352
24,2026-06-10T23:30:32.963Z,BTWUSDT,close,+a-b,100,buy,sell,11.0,20.0,9.0,9.0,-11.0,-20.0,0.0763,0.0765026,0.076491,0.076165,0.020259999999999723,0.032600000000000684,0.05286000000000041,-0.0413933799999997
25,2026-06-10T23:30:34.939Z,BTWUSDT,close,+a-b,100,buy,sell,2.0,9.0,7.0,7.0,-2.0,-9.0,0.07591,0.07608,0.076082,0.07572,0.01699999999999896,0.03620000000000012,0.05319999999999908,-0.04359000000000002
26,2026-06-10T23:30:55.551Z,BTWUSDT,add,-a+b,100,sell,buy,6.0,6.0,0.0,0.0,-6.0,-6.0,0.07352,0.07348,0.073074,0.073414,0.003999999999999837,0.03399999999999931,0.037999999999999146,-0.0007446999999993764
27,2026-06-10T23:32:12.564Z,BTWUSDT,add,-a+b,100,sell,buy,16.0,168.0,152.0,152.0,-16.0,-168.0,0.07207,0.07203,0.071655,0.071956,0.003999999999999837,0.03010000000000096,0.034100000000000796,0.00020070999999965977
28,2026-06-10T23:39:25.705Z,BTWUSDT,close,+a-b,100,buy,sell,3.0,10.0,7.0,7.0,-3.0,-10.0,0.07576,0.0758713,0.076119,0.075578,0.011130000000000861,0.05409999999999998,0.06523000000000084,-0.0369024600000003
29,2026-06-10T23:48:18.594Z,WLDUSDT,open,-a+b,12,sell,buy,56.0,58.0,2.0,2.0,-56.0,-58.0,0.4489,0.4486,0.4467,0.4493,0.0036000000000002697,0.031199999999999894,0.034800000000000164,-0.013787399999999117
30,2026-06-10T23:55:52.820Z,BTWUSDT,close,+a-b,100,buy,sell,15.0,17.0,2.0,2.0,-15.0,-17.0,0.08448,0.08458,0.084645,0.084266,0.010000000000000286,0.03790000000000043,0.04790000000000072,-0.039842300000001885
31,2026-06-10T23:57:20.459Z,BTWUSDT,add,-a+b,100,sell,buy,5.0,2.0,3.0,-3.0,-5.0,-2.0,0.08669,0.08596,0.086212,0.086014,0.07300000000000084,-0.019800000000000373,0.05320000000000047,-0.013998700000000142
32,2026-06-10T23:57:32.694Z,BTWUSDT,close,+a-b,100,buy,sell,12.0,13.0,1.0,1.0,-12.0,-13.0,0.08447,0.08458,0.084687,0.084394,0.010999999999999899,0.02930000000000016,0.04030000000000006,-0.027048700000001702
33,2026-06-11T00:20:03.561Z,BTWUSDT,add,-a+b,100,sell,buy,3.0,12.0,9.0,9.0,-3.0,-12.0,0.09252,0.09287,0.092,0.092614,-0.03499999999999892,0.06140000000000034,0.026400000000001422,0.016325800000000612
34,2026-06-11T00:33:31.710Z,BTWUSDT,close,+a-b,100,buy,sell,26.0,31.0,5.0,5.0,-26.0,-31.0,0.08668,0.0862152,0.086869,0.085923,-0.046479999999998745,0.09460000000000024,0.048120000000001495,-0.037826909999999714
35,2026-06-11T00:33:43.970Z,BTWUSDT,close,+a-b,100,buy,sell,30.0,94.0,64.0,64.0,-30.0,-94.0,0.08869,0.08881,0.089001,0.088799,0.011999999999999511,0.020199999999999385,0.032199999999998896,-0.009980439999999646
36,2026-06-11T00:33:50.690Z,BTWUSDT,close,+a-b,100,buy,sell,2.0,1.0,1.0,-1.0,-2.0,-1.0,0.0901,0.09022,0.090286,0.090126,0.011999999999999511,0.016000000000000736,0.028000000000000247,-0.01841730000000119
37,2026-06-11T00:33:54.362Z,BTWUSDT,close,+a-b,100,buy,sell,8.0,9.0,1.0,1.0,-8.0,-9.0,0.08964,0.0897,0.089818,0.089578,0.006000000000000449,0.023999999999999022,0.02999999999999947,-0.021163900000001235
38,2026-06-11T00:42:05.727Z,BTWUSDT,open,+a-b,100,buy,sell,9.0,13.0,4.0,4.0,-9.0,-13.0,0.08264,0.08312,0.083109,0.083454,0.04799999999999943,-0.03449999999999981,0.013499999999999623,0.025071300000000463
39,2026-06-11T00:43:21.395Z,BTWUSDT,close,-a+b,100,sell,buy,3.0,5.0,2.0,2.0,-3.0,-5.0,0.08644,0.0865148,0.086279,0.086502,-0.007479999999999987,0.022300000000000098,0.01482000000000011,-0.007370840000001877
40,2026-06-11T01:25:27.582Z,BTWUSDT,open,+a-b,100,buy,sell,19.0,27.0,8.0,8.0,-19.0,-27.0,0.079,0.07768,0.079435,0.077098,-0.13200000000000017,0.23370000000000057,0.1017000000000004,-0.0659389000000008
41,2026-06-11T01:25:28.981Z,BTWUSDT,close,-a+b,100,sell,buy,13.0,1.0,12.0,-12.0,-13.0,-1.0,0.07797,0.07723,0.077642,0.077636,0.07400000000000045,-0.0006000000000006,0.07339999999999985,-0.04834329000000093
42,2026-06-11T01:30:26.237Z,BTWUSDT,open,-a+b,100,sell,buy,5.0,5.0,0.0,0.0,-5.0,-5.0,0.07131,0.0712,0.070826,0.071041,0.010999999999999899,0.021500000000000685,0.032500000000000584,0.008787949999999434
43,2026-06-11T01:30:33.529Z,BTWUSDT,add,-a+b,100,sell,buy,35.0,2.0,33.0,-33.0,-35.0,-2.0,0.07097,0.07061,0.070533,0.070765,0.03599999999999992,0.02319999999999961,0.05919999999999953,-0.022568749999999582
44,2026-06-11T01:30:56.689Z,BTWUSDT,close,+a-b,100,buy,sell,8.0,17.0,9.0,9.0,-8.0,-17.0,0.07082,0.0709128,0.070971,0.070507,0.009280000000000399,0.04640000000000061,0.055680000000001006,-0.04765098000000023
45,2026-06-11T01:30:58.398Z,BTWUSDT,add,-a+b,100,sell,buy,3.0,6.0,3.0,3.0,-3.0,-6.0,0.07061,0.0704974,0.070176,0.070338,0.011260000000000436,0.016199999999999548,0.027459999999999984,0.008898240000000612
46,2026-06-11T01:38:04.779Z,BTWUSDT,add,-a+b,100,sell,buy,6.0,8.0,2.0,2.0,-6.0,-8.0,0.07688,0.0765174,0.076255,0.076696,0.03626000000000046,0.044099999999999695,0.08036000000000015,-0.02552066999999969
47,2026-06-11T01:39:02.606Z,BTWUSDT,close,+a-b,100,buy,sell,10.0,7.0,3.0,-3.0,-10.0,-7.0,0.07947,0.079559,0.079663,0.079218,0.008900000000000574,0.044500000000000095,0.05340000000000067,-0.04203885000000085
48,2026-06-11T01:39:57.452Z,BTWUSDT,add,-a+b,100,sell,buy,19.0,23.0,4.0,4.0,-19.0,-23.0,0.08086,0.081386,0.080275,0.08127,-0.05259999999999987,0.09949999999999959,0.04689999999999972,0.003467200000001114
49,2026-06-11T02:20:40.915Z,SKYAIUSDT,add,+a-b,30,buy,sell,16.0,24.0,8.0,8.0,-16.0,-24.0,0.18487,0.18507,0.18628,0.1856,0.006000000000000172,0.020400000000000418,0.02640000000000059,0.010339949999999654
50,2026-06-11T02:46:02.533Z,BTWUSDT,close,+a-b,100,buy,sell,19.0,27.0,8.0,8.0,-19.0,-27.0,0.07538,0.07497,0.075626,0.074557,-0.04100000000000076,0.10690000000000005,0.06589999999999929,-0.0487763499999998
51,2026-06-11T02:48:22.257Z,HOMEUSDT,open,+a-b,200,buy,sell,17.0,17.0,0.0,0.0,-17.0,-17.0,0.03431,0.0343,0.03451,0.03431,-0.0020000000000006124,0.03999999999999976,0.037999999999999146,-0.004860999999999116
52,2026-06-11T03:50:06.593Z,WLDUSDT,close,+a-b,11,buy,sell,3.0,11.0,8.0,8.0,-3.0,-11.0,0.4688,0.4683,0.4701,0.4679,-0.005500000000000005,0.024200000000000388,0.018700000000000383,-0.009549100000000088
53,2026-06-11T04:00:34.790Z,BTWUSDT,close,+a-b,100,buy,sell,75.0,77.0,2.0,2.0,-75.0,-77.0,0.07073,0.07068,0.070989,0.070801,-0.004999999999999449,0.018799999999999373,0.013799999999999923,0.005025950000000279
54,2026-06-11T04:08:12.730Z,WLDUSDT,close,+a-b,1,buy,sell,17.0,23.0,6.0,6.0,-17.0,-23.0,0.4673,0.4628,0.4696,0.4628,-0.004500000000000004,0.006800000000000028,0.0023000000000000242,-0.00046279999999998545
55,2026-06-11T05:26:16.729Z,BTWUSDT,close,+a-b,100,buy,sell,4.0,5.0,1.0,1.0,-4.0,-5.0,0.06686,0.06706,0.067097,0.067086,0.019999999999999185,0.0010999999999997123,0.021099999999998897,-0.00410729999999937
56,2026-06-11T05:28:08.488Z,SKYAIUSDT,close,-a+b,30,sell,buy,43.0,76.0,33.0,33.0,-43.0,-76.0,0.18387,0.18431,0.18284,0.18489,-0.013199999999999878,0.06149999999999989,0.04830000000000001,-0.022937999999999015
57,2026-06-11T06:03:26.172Z,HOMEUSDT,add,+a-b,200,buy,sell,18.0,27.0,9.0,9.0,-18.0,-27.0,0.03475,0.03477,0.035,0.03481,0.003999999999999837,0.03800000000000053,0.04200000000000037,0.0010419999999999874
58,2026-06-11T06:36:28.572Z,EPICUSDT,open,-a+b,12,sell,buy,22.0,152.0,130.0,130.0,-22.0,-152.0,0.5474,0.5502,0.5454,0.5509,-0.033600000000000296,0.06599999999999939,0.032399999999999096,-0.015006599999999537
